time,br30_gobgp,br30_jool
156.59999990463257,74,74
156.90000009536743,72,73
157.09999990463257,72,72
157.29999995231628,72,72
157.5,71,71
157.70000004768372,70,70
158.0,70,70
158.20000004768372,70,70
158.40000009536743,70,70
158.59999990463257,70,70
158.79999995231628,69,69
159.0,69,69
159.29999995231628,68,68
159.5,68,68
159.79999995231628,67,67
160.0,67,67
160.20000004768372,66,66
160.40000009536743,66,66
160.59999990463257,66,66
160.90000009536743,65,65
161.09999990463257,65,65
161.29999995231628,65,65
161.5,65,65
161.70000004768372,65,65
162.0,65,65
162.20000004768372,65,65
162.40000009536743,65,65
162.59999990463257,63,63
162.79999995231628,62,62
163.09999990463257,62,62
163.29999995231628,62,62
163.5,62,62
163.70000004768372,62,62
163.90000009536743,61,61
164.20000004768372,60,60
164.5,59,59
164.70000004768372,59,59
164.90000009536743,59,59
165.09999990463257,59,59
165.29999995231628,58,58
165.5,58,58
165.79999995231628,58,58
166.0,58,58
166.20000004768372,56,57
166.40000009536743,56,56
166.70000004768372,56,56
166.90000009536743,56,56
167.09999990463257,55,55
167.29999995231628,55,55
167.5,54,54
167.79999995231628,54,54
168.0,54,54
168.20000004768372,53,53
168.40000009536743,53,53
168.59999990463257,53,53
168.79999995231628,53,53
169.09999990463257,52,52
169.29999995231628,52,52
169.5,52,52
169.70000004768372,51,51
170.0,51,51
170.20000004768372,51,51
170.40000009536743,51,51
170.59999990463257,51,51
170.79999995231628,50,50
171.09999990463257,49,49
171.29999995231628,48,48
171.5,48,48
171.70000004768372,48,48
171.90000009536743,48,48
172.09999990463257,46,46
172.40000009536743,46,46
172.59999990463257,46,46
172.79999995231628,46,46
173.09999990463257,46,46
173.29999995231628,46,46
173.5,46,46
173.70000004768372,43,43
174.0,42,42
174.20000004768372,42,42
174.40000009536743,42,42
174.70000004768372,42,42
174.90000009536743,42,42
175.09999990463257,42,42
175.29999995231628,42,42
175.5,42,42
175.79999995231628,41,41
176.0,41,41
176.29999995231628,41,41
176.5,40,40
176.70000004768372,39,39
176.90000009536743,39,39
177.20000004768372,39,39
177.40000009536743,39,39
177.59999990463257,39,39
177.79999995231628,37,37
178.0,37,37
178.29999995231628,37,37
178.5,37,37
178.70000004768372,37,37
178.90000009536743,37,37
179.20000004768372,37,37
179.40000009536743,35,35
179.59999990463257,35,35
179.90000009536743,35,35
180.09999990463257,35,35
180.29999995231628,34,34
180.5,34,34
180.70000004768372,32,32
181.0,32,32
181.20000004768372,32,32
181.40000009536743,30,30
181.70000004768372,30,30
181.90000009536743,30,30
182.09999990463257,29,29
182.29999995231628,29,29
182.5,29,29
182.79999995231628,29,29
183.0,29,29
183.20000004768372,28,28
183.40000009536743,28,28
183.59999990463257,28,28
183.90000009536743,28,28
184.09999990463257,28,28
184.29999995231628,26,26
184.59999990463257,26,26
184.79999995231628,24,24
185.0,24,24
185.29999995231628,24,24
185.5,24,24
185.70000004768372,24,24
185.90000009536743,23,23
186.09999990463257,23,23
186.40000009536743,22,22
186.59999990463257,22,22
186.79999995231628,21,21
187.0,20,20
187.20000004768372,20,20
187.5,20,20
187.70000004768372,20,20
187.90000009536743,20,20
188.09999990463257,20,20
188.29999995231628,20,20
188.59999990463257,20,20
188.79999995231628,19,19
189.0,17,17
189.20000004768372,17,17
189.5,17,17
189.70000004768372,17,17
189.90000009536743,17,17
190.09999990463257,17,17
190.29999995231628,16,16
190.59999990463257,16,16
190.79999995231628,16,16
191.0,16,16
191.20000004768372,16,16
191.5,16,16
191.70000004768372,16,16
191.90000009536743,16,16
192.09999990463257,16,16
192.29999995231628,16,16
192.59999990463257,16,16
192.79999995231628,16,16
193.0,16,16
193.20000004768372,16,16
193.40000009536743,16,16
193.59999990463257,16,16
193.90000009536743,16,16
194.09999990463257,16,16
194.29999995231628,16,16
194.5,16,16
194.70000004768372,15,15
195.0,14,14
195.20000004768372,14,14
195.40000009536743,14,14
195.59999990463257,14,14
195.79999995231628,13,13
196.09999990463257,13,13
196.29999995231628,12,12
196.5,12,12
196.70000004768372,12,12
196.90000009536743,12,12
197.09999990463257,12,12
197.40000009536743,11,11
197.59999990463257,11,11
197.79999995231628,11,11
198.0,11,11
198.20000004768372,11,11
198.5,11,11
198.70000004768372,11,11
198.90000009536743,11,11
199.09999990463257,11,11
199.29999995231628,11,11
199.5,11,11
199.79999995231628,11,11
200.0,9,9
200.20000004768372,9,9
200.5,9,9
200.70000004768372,9,9
200.90000009536743,9,9
201.09999990463257,9,9
201.40000009536743,9,9
201.59999990463257,9,9
201.79999995231628,9,9
202.0,9,9
202.20000004768372,9,9
202.5,9,9
202.70000004768372,9,9
202.90000009536743,9,9
203.09999990463257,9,9
203.29999995231628,8,8
203.59999990463257,8,8
203.79999995231628,8,8
204.0,8,8
204.20000004768372,7,7
204.40000009536743,7,7
204.70000004768372,7,7
204.90000009536743,7,7
205.09999990463257,6,6
205.29999995231628,6,6
205.5,6,6
205.70000004768372,6,6
206.0,5,5
206.20000004768372,5,5
206.40000009536743,5,5
206.70000004768372,5,5
206.90000009536743,5,5
207.09999990463257,5,5
207.29999995231628,5,5
207.5,4,4
207.79999995231628,4,4
208.0,4,4
208.20000004768372,4,4
208.40000009536743,4,4
208.59999990463257,4,4
208.79999995231628,4,4
209.09999990463257,4,4
209.29999995231628,3,3
209.5,3,3
209.70000004768372,3,3
209.90000009536743,3,3
210.09999990463257,3,3
210.40000009536743,3,3
210.59999990463257,3,3
210.79999995231628,3,3
211.0,3,3
211.20000004768372,3,3
211.40000009536743,3,3
211.70000004768372,3,3
211.90000009536743,2,2
212.09999990463257,1,1
212.29999995231628,1,1
212.59999990463257,1,1
212.79999995231628,1,1
213.0,1,1
213.20000004768372,1,1
213.40000009536743,1,1
213.59999990463257,1,1
213.90000009536743,1,1
214.09999990463257,1,1
214.29999995231628,0,0
214.5,0,0
214.79999995231628,0,0
215.0,0,0
215.20000004768372,0,0
215.40000009536743,0,0
215.59999990463257,0,0
215.90000009536743,0,0
216.09999990463257,0,0
216.29999995231628,0,0
216.5,0,0
216.70000004768372,0,0
217.0,0,0
217.20000004768372,0,0
217.40000009536743,0,0
217.59999990463257,0,0
217.79999995231628,0,0
218.0,0,0
